lambda_0_0,lambda_0_1,lambda_0_2,lambda_0_3,lambda_0_4,lambda_0_5,lambda_0_6,lambda_0_7,lambda_0_8,lambda_0_9,lambda_0_10,lambda_1_0,lambda_1_1,lambda_1_2,lambda_1_3,lambda_1_4,lambda_1_5,lambda_1_6,lambda_1_7,lambda_1_8,lambda_1_9,lambda_1_10,lambda_2_0,lambda_2_1,lambda_2_2,lambda_2_3,lambda_2_4,lambda_2_5,lambda_2_6,lambda_2_7,lambda_2_8,lambda_2_9,lambda_2_10
-0.6801217041427046,0.4325212903465936,-0.11827234715754309,-0.8835845473604553,-0.271325485579786,-0.7886162575734139,-0.0417084146500164,0.2537220995719982,0.21520940602682592,0.5323272957146645,-0.19105585847014717,-0.6546089374074917,-0.0353520135102936,-0.1863462316630804,-0.5323618163491661,-0.167808769322755,0.04733117978824852,-0.6296007764701115,-0.9890404746725998,0.46794009435590644,-0.26450015277351957,0.7363759456739003,0.7024643678543314,0.41448606595531334,-0.5015842720376424,-0.10390297741422438,0.7654474043420594,-0.8505304099187816,0.5441645262432955,-0.6050884628543705,0.529274042280492,0.04137211528077911,0.558250706566759
0.5151558188641958,-0.8081772121728894,0.2519056639860857,-0.8135488371367825,0.9221441952023759,-0.3131463051558987,0.6534522910213669,-0.5811424665387535,0.15487355261144864,-0.5013440173445478,0.723722809231709,-0.7343369558447108,0.8889716022659326,-0.839310790783578,-0.49073684663060035,-0.4426732306651531,0.9777298131889491,0.4274239849418575,-0.9831807174904696,-0.18685179247839678,-0.003487143276055704,-0.9673765623443074,0.3487469095727651,0.8309795266884243,-0.3748471742589803,0.555883474525757,-0.786530746658026,-0.08355846220926977,-0.6385674978460811,-0.34719577291385684,0.5875428550633086,-0.07586957349534318,-0.1670166686229111
-0.32981271547872404,0.7254724993980415,0.8922909403575108,0.9533251952731732,0.37057972021039753,-0.5547843130338681,0.8606576537604742,0.4102849964928974,0.27697226116792395,0.5723315666119657,-0.447002804051972,-0.05125678596721461,0.8286973501363522,0.3141936113222008,-0.7512604445370465,0.2844829866710741,-0.3248168437696821,0.34931254519076815,0.09657220239754394,-0.7818614849840659,-0.2638327383653747,-0.10763538193405009,0.7129995333227621,-0.5227540431671487,-0.38971667444435565,-0.0008202597815298862,-0.934840003624966,0.16707102750319658,-0.747004202086542,-0.37217072609108937,-0.9714150227759601,0.016249726573164924,-0.22119657062269438
0.19040910210135809,-0.4055387563316082,0.5346698357649033,0.4659419778072309,0.030018938254693373,-0.407098069662156,0.3835228945247511,0.9963160751201703,0.86891999346054,-0.8228961487056345,0.6445085326803444,0.025848955600731083,-0.283139498326777,0.40251149160441924,-0.8474559629832068,0.21359794177087066,-0.42853518004221436,-0.8105061803104787,-0.6637108926086017,0.5357810102178824,-0.8155837847584753,-0.4023619337592488,0.5098029794125833,-0.9540256803605871,-0.2876282496156648,0.10728857595330887,0.8387792461690429,-0.0738235582777147,-0.5975666990209083,-0.5850450885990972,0.6061482167849839,-0.0007943561088854523,0.03860980564983829
0.23573643827758506,0.8487029425105486,0.8062501493700183,0.15341169674138033,0.33950245524150824,-0.37353733032348924,0.5094986089893869,0.7619904777442204,-0.23325359289489933,-0.13649908216172357,-0.1309707024823421,0.5896605553977436,-0.39992461466251306,-0.2065896165786949,-0.27828873472412763,-0.7270071517057359,0.17792105549114634,0.3322926811377187,-0.8959156615173867,0.3469899188932515,0.3891065601515886,-0.05752763821293061,0.8445831700251729,0.38874449449484194,0.6142518759563453,0.42024798086756676,0.5053005892857563,0.9213602143699982,0.03864558724764522,0.7393980397143418,0.25674405674048173,-0.6596346885706923,0.7923683427716657
0.6795198353002605,0.25284590010461283,-0.16744564533713957,-0.4947263659698704,-0.25566746642985416,0.9667413987402667,-0.2725168584317461,0.0863773941341257,0.3074809098823794,-0.5044371544447848,0.7648955691220152,-0.12658090069436478,-0.5771672003553447,-0.21675283089382313,0.5314655447973666,-0.25310123146816,0.023733524011046114,-0.09589477496666055,0.727076826742578,0.18202329098456138,-0.2886069601158969,-0.11877385324260525,-0.9168181911987041,0.5397453318392544,0.9399593540975857,0.052282482074056835,0.03264428834670552,0.9340410251239257,0.9248439350044202,-0.6561934621290137,-0.009669364345622489,-0.5485202204607198,0.23030517859766486
-0.9663684560920245,-0.8151705296074903,0.9288629572944858,-0.3697419425356203,-0.657022097186269,-0.37685900377642123,-0.6984707288668481,0.3750992045563404,0.38877289170171037,0.2260694704786146,0.7676621719042112,0.16043290451644632,0.16562604967789252,-0.7452083934628362,-0.8868413307660876,0.040934936953518575,0.45031767360580854,-0.41853391582661215,-0.04580159300013853,-0.5058844553304394,0.7638566576121226,0.6922612200631784,-0.06552186234446,0.37823383796229515,-0.38220021175233354,-0.494298095685475,0.15576499846532754,-0.11379124300318622,0.08844734352585193,-0.05524722880695676,-0.7812047920470286,-0.5228782058527608,-0.5087207652678702
0.7735590051654191,0.271547422738492,0.7387653316152962,0.545007924632803,0.6446177004512597,0.10891666135932265,0.8727967361532656,0.24511207376413502,-0.18027805943618258,0.4237814838977998,0.4566417202208384,0.43783049560225407,-0.10558100486659261,-0.23022065191764707,-0.033411030711444134,-0.834763821569573,0.988169156958131,0.7348674709439076,0.9729338344401273,-0.6476692741625425,0.47845759452339753,0.16148762501838787,0.04354374350697365,0.8798883614082393,-0.4660363849785176,0.8880301632712886,-0.7879913234034079,-0.6224521716779428,-0.5427258042685992,0.2588211446217461,0.3115137592301125,-0.9667942391274325,0.40336161738258247
0.672251196377754,-0.3390934179817242,-0.564187376608597,-0.28683978383674713,-0.06572845291534524,-0.18454908283594929,-0.6863848328057147,-0.05981192108633926,0.13750157268226437,-0.5473138631495491,-0.6670307114765253,-0.10295138508308321,-0.9424873007056283,0.35396486177304487,0.9709705259025936,-0.9941238928231031,-0.4319622856851655,0.43923956740662473,0.7991389623707568,0.6865978687911019,0.09584283862351994,-0.7712435794887307,0.33156154597192455,-0.12921553234770844,-0.9647396433590643,0.2525146731647476,0.5423664492695712,0.6984016486225588,-0.1163270942642467,0.9368975047986032,0.4503739175384198,0.39300585560861667,0.7340466814127282
-0.21032611861305894,-0.2262387133072401,-0.4488452884375407,-0.36847535781833707,0.6838508796454945,-0.15952956623227887,0.6871359727946098,-0.29622074637749773,-0.4159145006154492,-0.9814995682280534,0.9742025082901522,-0.30932197519830473,0.5219303418224197,0.7175942915593856,-0.35441128706722913,0.41154519591296035,-0.8643775460323435,0.06805812870706385,0.04791464760300812,0.8261226839938356,-0.6421704634839995,0.12459106736705361,0.2265230430729852,0.9142679537926062,0.15333300240488423,-0.043006895933863865,-0.9376601001189535,-0.17273989925508215,0.5391455958943245,-0.5047283763358654,-0.8726036276211686,-0.5080764999570742,0.7725997140692278
-0.23255838986636213,0.9158743267602425,0.6945873753779355,-0.2620305343004967,0.09465271615020887,0.7100217061895602,0.49453031421339655,0.030886663407453385,0.19384720881093642,0.6262121772247371,0.6048133934333477,0.7457012645172025,0.22250941890512976,-0.1931583400788046,0.3477502023333665,0.6314027807945597,-0.41988522628111946,0.9744124182741922,0.7846750391371116,0.36918647332072796,-0.7540880368345131,0.5035454233555439,0.5610900396451766,-0.1429455983079264,0.06618368672612474,-0.28019714205041724,-0.42428904927295497,0.878025602314944,0.16860233958188076,0.32303203385002166,-0.06530556299108592,0.6078123770563686,-0.46224569459888487
-0.7180729496807869,-0.4797332915775554,-0.9150012315576694,0.054650837848776224,0.3996100177012658,0.5375963354967992,-0.22442663519650052,0.2873755642213074,-0.49976764694427445,0.5267397398143487,0.1427040008342002,-0.24659306704622663,0.9734429377190661,-0.5371953743015552,0.7454272515245062,0.9994651208193492,-0.8538734545567002,0.46899447248865567,-0.90472054072488,-0.7000095392031898,-0.02438962362085695,-0.1313142263114515,-0.49599523758577857,0.9435159895649767,0.5784238054957107,0.03323896159100492,0.7723186085983675,0.9769144444039408,-0.3010770058823182,0.23879430015571934,0.5931498306987661,0.20132352419552668,0.3594076761694116
-0.45511514885102944,-0.5146292672250901,-0.031417236123640446,-0.8059745417182427,0.19525033661727198,-0.626783888551075,-0.22730944927802632,0.9149888987133292,-0.1611288082272222,-0.30527309681415593,0.49429174633314443,0.39825495292108437,-0.9200096868054268,0.3278361880250851,0.4077132410972406,-0.6907506521320042,0.6790636120647824,-0.7117150274632584,0.14266850270624287,0.7729180908248319,-0.8992972333060294,-0.9417750923024202,0.7810530655320851,-0.15407402560717842,0.7681375466077414,-0.1851507267396788,0.8806361526792241,0.26481835418398125,0.9484551880406089,0.8792993715878421,-0.05540768819700381,-0.3449845331169097,0.241332396534796
0.33435623041260465,-0.3596749178881098,0.42394830807282124,-0.026385898331398927,0.8416334374043455,-0.11780890751152495,0.7966901897768273,-0.6702813179707736,0.4360176054591578,0.8932499582359656,-0.27599700577558717,0.2559106071637527,-0.8971767212748945,0.5157678040732525,0.16049443379803674,-0.2806012067254815,-0.3254890806439972,0.8493831800931353,0.06639055730943322,0.8153728181793252,-0.062419211183793566,0.3911870457780229,0.23806507151559986,-0.837281368821855,-0.3380661939268017,-0.8883449698629364,0.17836434374392018,-0.7449813218354706,0.3151135373150138,-0.7838554928638726,-0.12470469707894005,-0.2504575363659256,-0.19387477125000063
0.8294488741359207,0.9956830193725212,0.6617202633294312,-0.4446107248141826,-0.5262168306932731,-0.8493083339919556,0.658411761691567,-0.9409601654754807,-0.696807683991977,0.8972409628276563,0.45619216023531983,0.44793641528829364,-0.8210582533474298,-0.8660955800696677,-0.7589116695607387,0.7562692288637405,-0.40648167516003797,-0.789588832564021,0.29523458238489475,0.6653581286656636,-0.44691939860839924,-0.3493256833092713,-0.08144125274726899,0.29047147230679804,-0.5199141374476421,-0.8340729252556534,-0.11899741119905172,-0.15894399682513383,0.2796784681224824,-0.9971768364732159,0.7826241171106949,-0.2279341977596807,-0.8696003680037845
0.4521994704120744,0.00952628150903223,-0.23694617777303706,0.5633381659040151,-0.38287236725866136,-0.32156582671754785,0.859501245083754,0.6353477669261547,0.665791486507993,-0.1752909157303808,-0.7501184219317696,0.1842156991219921,0.11874535709995193,-0.21835719922367347,-0.713931422650087,0.5762119890960622,0.5566988079965014,-0.12368401163867238,0.08153999883617646,-0.460551583964256,0.725907577101869,0.10838370017541954,-0.9691346293738179,0.01735580655235136,0.9598705474945386,-0.5421625990183194,0.3759005004248863,0.41747900092146173,-0.6253321165559464,-0.9226989472699552,-0.9668211922651968,0.2692444651959156,-0.20344279554935252
-0.39372505598961305,-0.05883897929928472,0.7418046112967973,0.1288973987915487,0.7110774480073796,-0.6959930147504894,0.46529862550581846,-0.4068376051459859,0.35797951108004167,-0.4107167449026248,0.15877995896887342,-0.019275117840741762,-0.5345012531984095,-0.009845161985340578,-0.6953569401543147,-0.7470946753939707,-0.0718854545730605,0.16156700227660004,-0.8448076780210632,-0.7872975062456533,0.8134324737568641,0.5189921252261822,0.7949181126130076,-0.43517797707112416,-0.9474888519484048,-0.2577266143601693,0.12654506024061463,0.9035407261287629,0.6564673008025927,0.3064794800677446,0.3170924481432642,-0.7871596582353595,-0.13646181517874423
-0.5601445192527266,-0.19005809302744092,-0.08664630899162429,-0.24090860880951515,-0.46528978694907774,-0.37176473720581615,0.3114756304909192,-0.39141851062753297,-0.5705415190493772,-0.8623329732176317,0.2567414330458697,0.18057922908724455,0.5898390874425117,-0.7819876436906372,-0.463564278200957,0.9161894875857954,-0.6942362106805848,0.020347786428664527,0.05208186840308704,-0.8134755319850628,-0.5255059093935328,-0.8261525715374978,-0.19740351935668854,0.008921614723011562,0.9216388847716326,0.0900857830002697,-0.14670918266470112,0.8698753986198067,0.6220530383942717,0.43341715216926113,-0.6851041829012177,-0.10705401833405892,-0.035490587524922734
-0.7608087494309201,0.4580239082297073,-0.33807134267011274,-0.26686369100837926,-0.5437858533507207,0.08397137275943711,0.4605204702502572,-0.45985673287114603,-0.470123202831338,-0.21556841980809693,0.3887112587176482,0.6676564184877452,-0.958383307177133,-0.509450737466669,-0.9691361923622628,-0.10267820069586286,-0.5343295503645336,0.045374758726570485,-0.220046789537659,-0.3050143329055226,0.13547662288152384,0.8792719608414159,0.21260250814964254,0.82336538042118,0.5718552238027117,-0.28315028129543096,0.3359287088124223,0.9547550143872492,0.06353357682003669,-0.798959205330454,0.43292741754326247,-0.003583635966065035,0.07506841326385016
